Nombre de lignes,temps de Tri Bulle
100,0
1000,45
10000,4376
100000,462548
----------------------------------------------------------------selectif
100,1
1000,43
10000,4381
100000,470361
----------------------------------------------------------------insertion
100,0
1000,19
10000,1853
100000,195972
----------------------------------------------------------------Quick
100,0
1000,3
10000,73
100000,6183
30,1662.000000
30,1882.000000
30,1232.000000
30,8696.000000
30,16120.000000
